City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
609,Ipora,BR,81.72,few clouds,-16.4419,-51.1178,Oásis Motel
611,Lucea,JM,75.06,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
616,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
620,Euclides Da Cunha,BR,85.77,broken clouds,-10.5075,-39.0158,Hotel e Posto Bastos
625,Mitsamiouli,KM,89.89,few clouds,-11.3847,43.2844,Foyer ADM
627,Amparafaravola,MG,76.89,light rain,-17.5833,48.2167,Aina Franco
632,Vryburg,ZA,83.16,overcast clouds,-26.9566,24.7284,The Times Premier Lodge
637,Trinidad,BO,82.38,few clouds,-14.8333,-64.9,Hotel Piesta
641,Niteroi,BR,86.97,light rain,-22.8833,-43.1036,Guesthouse
652,Port Blair,IN,80.51,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
660,Soyo,AO,86.05,overcast clouds,-6.1349,12.3689,Hotel Mpampa
664,Oussouye,SN,89.78,overcast clouds,12.485,-16.5469,Auberge du Routard
671,Mayumba,GA,80.15,light rain,-3.432,10.6554,LIKWALE LODGE
674,Bosaso,SO,78.78,clear sky,11.2842,49.1816,Red Sea Hotel
685,Sibolga,ID,78.39,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
689,Harper,LR,82.36,light rain,4.375,-7.7169,Screensaver
697,Pauini,BR,85.62,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
699,Quatre Cocos,MU,86.11,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
700,Boa Vista,BR,82.38,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
709,General Roca,AR,83.62,broken clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
712,Kousseri,CM,87.76,overcast clouds,12.0769,15.0306,Le Pilotis
713,Port Moresby,PG,76.41,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
716,Koungou,YT,87.51,broken clouds,-12.7336,45.2042,Villa Netibor
